latitude,longitude,elevation,miles
36.1809,-112.0342,4356.63,10.91951
36.1811,-112.0343,4357.28,10.93439
36.1813,-112.0344,4363.52,10.94927
36.1815,-112.0344,4371.39,10.96306
36.1817,-112.0344,4389.76,10.97685
36.1819,-112.0344,4396.33,10.99064
36.1821,-112.0344,4397.64,11.00443
36.1823,-112.0345,4407.48,11.01931
36.1825,-112.0346,4416.01,11.03419
36.1827,-112.0346,4420.6,11.04798
36.1829,-112.0346,4435.37,11.06177
36.1831,-112.0345,4422.57,11.07665
36.1833,-112.0345,4428.48,11.09044
36.1835,-112.0346,4426.18,11.10532
36.1837,-112.0346,4432.09,11.11911
36.1839,-112.0345,4448.82,11.13399
36.1841,-112.0333,4501.97,11.20246
36.1843,-112.0334,4490.49,11.21734
36.1845,-112.0338,4477.69,11.24361
36.1847,-112.0318,4530.84,11.35625
36.1849,-112.0319,4530.18,11.37113
36.1851,-112.0322,4543.64,11.39284
36.1853,-112.0321,4547.24,11.40772
36.1855,-112.0321,4552.49,11.42151
36.1857,-112.0322,4562.66,11.43639
36.1859,-112.0322,4576.77,11.45018
36.1861,-112.0322,4578.08,11.46397
36.1863,-112.0322,4587.6,11.47776
36.1865,-112.0322,4600.07,11.49155
36.1867,-112.0322,4608.6,11.50534
36.1869,-112.0323,4612.86,11.52021
36.1871,-112.0323,4615.81,11.534
36.1873,-112.0323,4625.98,11.54779
36.1875,-112.0324,4645.67,11.56267
36.1877,-112.0324,4652.23,11.57646
36.1879,-112.0324,4665.68,11.59025
36.1881,-112.0325,4672.24,11.60513
36.1883,-112.0324,4693.24,11.62001
36.1885,-112.0327,4718.18,11.64172
